car type,price,mileage,gear_type,year,cynlinder,date
Maserati  Levante,153000.0,51000.0,Automatic,2017,6,2023-01-27
Chevrolet  Silverado  Trail Boss,145000.0,73000.0,Automatic,2020,8,2023-01-27
BMW  7-Series  730 Li,169000.0,73000.0,Automatic,2019,6,2023-01-27
Toyota  Land Cruiser  GXR,149000.0,127000.0,Automatic,2017,6,2023-01-27
Mazda  CX  9,16000.0,144117.0,Automatic,2008,6,2023-01-27
Genesis  G90,188000.0,25000.0,Automatic,2020,8,2023-01-27
Lexus  LX  570,295000.0,25000.0,Automatic,2017,8,2023-01-27
Lexus  LX  570,250000.0,90000.0,Automatic,2017,8,2023-01-27
Porsche  911  Turbo,400000.0,24000.0,Automatic,2016,6,2023-01-27
Nissan  Urvan,45000.0,58173.0,Manual,2015,4,2023-01-27
GMC  Yukon  XL,79000.0,118000.0,Automatic,2016,8,2023-01-27
Ford  Mustang  GT,93000.0,91600.0,Automatic,2016,8,2023-01-27
Toyota  Land Cruiser  G,65000.0,360000.0,Manual,2004,6,2023-01-27
Toyota  Camry  GLX,44000.0,200000.0,Automatic,2016,4,2023-01-27
Toyota  Land Cruiser  GX,130000.0,148000.0,Automatic,2017,6,2023-01-27
Toyota  Hilux,81000.0,161000.0,Automatic,2019,4,2023-01-27
Dodge  Ram  Limited,185000.0,65000.0,Automatic,2020,8,2023-01-27
Porsche  Macan  S,249000.0,55000.0,Automatic,2020,6,2023-01-27
Jaguar  F-Pace  SVR,347000.0,19000.0,Automatic,2022,8,2023-01-27
Mercedes-Benz  CLA  250,163000.0,69000.0,Automatic,2020,4,2023-01-27
Mercedes-Benz  E-Class  200,169000.0,35000.0,Automatic,2018,4,2023-01-27
Mercedes-Benz  CLA  250,181000.0,55000.0,Automatic,2021,4,2023-01-27
BMW  X-Series  X2 M,143000.0,16000.0,Automatic,2021,4,2023-01-27
BMW  5-Series  530i,129000.0,35000.0,Automatic,2017,6,2023-01-27
BMW  X-Series  X7,314000.0,19000.0,Automatic,2022,6,2023-01-27
Lexus  RX  350,128000.0,125000.0,Automatic,2016,6,2023-01-27
Jeep  Grand Cherokee  TrackHawk,235000.0,94000.0,Automatic,2018,8,2023-01-27
Nissan  Patrol  SE,58000.0,220000.0,Automatic,2013,8,2023-01-27
GMC  Yukon,33000.0,170000.0,Automatic,2011,8,2023-01-27
Jeep  Grand Cherokee  Limited,54000.0,150000.0,Automatic,2014,6,2023-01-27
Toyota  Land Cruiser  VX Twin Turbo,365000.0,500.0,Automatic,2022,6,2023-01-27
Toyota  Land Cruiser  VXR,259000.0,8000.0,Automatic,2021,8,2023-01-27
Land Rover  Range Rover  Vogue SE Super charged,148000.0,133000.0,Automatic,2015,8,2023-01-27
Maserati  Levante  SQ4,199000.0,51000.0,Automatic,2020,6,2023-01-27
Mercedes-Benz  G-Class  63 Night Pack,589000.0,70000.0,Automatic,2019,8,2023-01-27
Volkswagen  ID  4,135000.0,0.0,Automatic,2022,0,2023-01-27
Nissan  Patrol  Safari,58000.0,164000.0,Manual,1996,6,2023-01-27
Toyota  Land Cruiser  VXR,270000.0,13000.0,Automatic,2021,8,2023-01-27
Lexus  LX  570,257000.0,128000.0,Automatic,2017,8,2023-01-27
Toyota  Avalon  XLE,35000.0,227909.0,Automatic,2015,6,2023-01-27
Aston Martin  DB  11,649000.0,7850.0,Automatic,2020,8,2023-01-27
Aston Martin  Vantage,699000.0,2400.0,Automatic,2022,8,2023-01-27
Toyota  Land Cruiser  GXR,117000.0,169000.0,Automatic,2013,6,2023-01-27
BMW  X-Series  X6,285000.0,47000.0,Automatic,2022,6,2023-01-27
,245000.0,8700.0,Automatic,2022,6,2023-01-27
,375000.0,0.0,Automatic,2023,6,2023-01-27
,415000.0,0.0,Automatic,2023,6,2023-01-27
,117000.0,145000.0,Automatic,2016,6,2023-01-27
,272000.0,145000.0,Automatic,2018,8,2023-01-27
,118000.0,44000.0,Automatic,2018,6,2023-01-27
,48000.0,160000.0,Automatic,2014,8,2023-01-27
,58000.0,65000.0,Automatic,2013,6,2023-01-27
,60000.0,259000.0,Automatic,2009,8,2023-01-27
,53000.0,389000.0,Automatic,2008,6,2023-01-27
,29000.0,280000.0,Automatic,2012,8,2023-01-27
,162000.0,339000.0,Automatic,2017,8,2023-01-27
,92000.0,291000.0,Automatic,2013,8,2023-01-27
,58000.0,26000.0,Manual,2016,8,2023-01-27
,100000.0,129417.0,Automatic,2012,6,2023-01-27
,159000.0,119000.0,Automatic,2020,6,2023-01-27
,249000.0,4000.0,Automatic,2022,4,2023-01-27
,69000.0,89000.0,Automatic,2016,4,2023-01-27
,136000.0,295000.0,Automatic,2016,8,2023-01-27
,47000.0,390000.0,Automatic,2009,6,2023-01-27
Toyota  Land Cruiser  VXR,58000.0,316000.0,Automatic,2008,8,2023-01-27
Nissan  Patrol  Super Safari,31000.0,499000.0,Automatic,2003,6,2023-01-27
Chevrolet  Corvette  STINGRAY,630000.0,500.0,Automatic,2023,8,2023-01-27
Toyota  Land Cruiser  VXR,150000.0,214000.0,Automatic,2016,8,2023-01-27
Dodge  Ram  TRX,314000.0,28500.0,Automatic,2021,8,2023-01-27
Infiniti  QX  60,60000.0,70000.0,Automatic,2015,6,2023-01-27
Nissan  Patrol,82000.0,260000.0,Automatic,2015,8,2023-01-27
Lexus  LX  600 F Sport,690000.0,0.0,Automatic,2023,6,2023-01-27
Toyota  Land Cruiser  VXR- Grand Touring S,233000.0,120000.0,Automatic,2020,8,2023-01-27
Mercedes-Benz  S-Class  450,605000.0,0.0,Automatic,2023,6,2023-01-27
Mercedes-Benz  G-Class  63 AMG,845000.0,20600.0,Automatic,2021,8,2023-01-27
Lexus  LX  600 F Sport,657000.0,2000.0,Automatic,2022,6,2023-01-27
Kia  Stinger  GT,125000.0,60000.0,Automatic,2019,6,2023-01-27
Mercedes-Benz  SL  500,118000.0,166000.0,Automatic,2013,8,2023-01-27
Land Rover  Range Rover  Vogue HSE,739000.0,10000.0,Automatic,2023,6,2023-01-27
BMW  X-Series  X5 M Competition,419000.0,21000.0,Automatic,2021,8,2023-01-27
Toyota  Land Cruiser  GX,149000.0,51000.0,Manual,2020,6,2023-01-27
Mini  Cooper  JCW,159000.0,20000.0,Automatic,2022,4,2023-01-27
Toyota  Land Cruiser  VXR,237000.0,69000.0,Automatic,2021,8,2023-01-27
Mercedes-Benz  S-Class  450,529000.0,4000.0,Automatic,2022,6,2023-01-27
Mercedes-Benz  S-Class  450,529000.0,4000.0,Automatic,2022,6,2023-01-27
Mini  Cooper  JCW,139000.0,5000.0,Automatic,2021,4,2023-01-27
Ford  F  150 Shelby,249000.0,56000.0,Automatic,2017,8,2023-01-27
Land Rover  Defender  130 First Edition,479000.0,0.0,Automatic,2023,6,2023-01-27
Mercedes-Benz  Vito,575000.0,0.0,Automatic,2022,4,2023-01-27
Mercedes-Benz  G-Class  63 AMG,700000.0,42000.0,Automatic,2020,8,2023-01-27
Mitsubishi  Pajero  GLS,70000.0,67000.0,Automatic,2018,6,2023-01-27
Mitsubishi  Pajero  GLS,79000.0,34000.0,Automatic,2018,6,2023-01-27
Mitsubishi  Pajero  3.8,75000.0,59000.0,Automatic,2018,6,2023-01-27
Mercedes-Benz  G-Class  63 AMG,179000.0,167000.0,Automatic,2013,8,2023-01-27
Fiat  595  Abarth,89000.0,30000.0,Automatic,2020,4,2023-01-27
Chevrolet  Corvette  ZO6,329000.0,6000.0,Manual,2015,8,2023-01-27
Land Rover  Range Rover  Vogue SE Super charged,289000.0,112000.0,Automatic,2019,8,2023-01-27
Ford  F  150,99000.0,65000.0,Automatic,2015,8,2023-01-27
Mercedes-Benz  G-Class  63 Night Pack,839000.0,13000.0,Automatic,2022,8,2023-01-27
Lexus  LX  600 F Sport,629000.0,3000.0,Automatic,2022,6,2023-01-27
Land Rover  Defender  110,369000.0,3000.0,Automatic,2023,4,2023-01-27
Mercedes-Benz  S-Class  400 AMG,149000.0,111000.0,Automatic,2015,6,2023-01-27
Audi  A3  S-Line,159000.0,500.0,Automatic,2023,4,2023-01-27
Mercedes-Benz  A-Class  45 AMG,149000.0,65000.0,Automatic,2018,4,2023-01-27
Chevrolet  Corvette  C7,179000.0,84000.0,Automatic,2016,8,2023-01-27
GMC  Sierra,119000.0,364000.0,Manual,1986,8,2023-01-27
Land Rover  Range Rover  Velar SE,209000.0,64000.0,Automatic,2019,6,2023-01-27
Toyota  Land Cruiser  VXR,269000.0,87000.0,Automatic,2021,8,2023-01-27
Mercedes-Benz  E-Class  200 AMG,249000.0,12000.0,Automatic,2021,4,2023-01-27
Ford  Raptor,229000.0,50000.0,Automatic,2019,6,2023-01-27
,159000.0,4000.0,Automatic,2021,4,2023-01-27
,139000.0,111000.0,Automatic,2017,4,2023-01-27
Toyota  Tundra,129000.0,139000.0,Automatic,2016,8,2023-01-27
Audi  S  8,565000.0,500.0,Automatic,2022,8,2023-01-27
Land Rover  Range Rover  Vogue SE,149000.0,118000.0,Automatic,2016,8,2023-01-27
Toyota  Land Cruiser  GXR Twin Turbo,299000.0,0.0,Automatic,2022,6,2023-01-27
Pontiac  Trans AM,130000.0,38000.0,Automatic,2001,8,2023-01-27
Genesis  GV 70,269000.0,16000.0,Automatic,2022,6,2023-01-27
Nissan  Patrol  Titanium,129000.0,118000.0,Automatic,2017,8,2023-01-27
Mercedes-Benz  GL  500,109000.0,61000.0,Automatic,2015,8,2023-01-27
Mercedes-Benz  G-Class  63 AMG,249000.0,85000.0,Automatic,2016,8,2023-01-27
Bentley  Continental  GT,629999.0,45650.0,Automatic,2019,12,2023-01-27
Mercedes-Benz  G-Class  63 AMG,869999.0,2400.0,Automatic,2022,8,2023-01-27
Lamborghini  Urus  Graphite Capsule,1149999.0,28700.0,Automatic,2022,8,2023-01-27
Ferrari  812  Superfast,1079999.0,12950.0,Automatic,2018,12,2023-01-27
Land Rover  Range Rover  Vogue Autobiography,799999.0,14150.0,Automatic,2022,8,2023-01-27
Land Rover  Range Rover  Sport First Edition,779999.0,2300.0,Automatic,2023,8,2023-01-27
Mercedes-Benz  G-Class  63 AMG,749999.0,22600.0,Automatic,2021,8,2023-01-27
Land Rover  Defender  110 X,579999.0,11000.0,Automatic,2023,4,2023-01-27
Audi  RSQ8,489999.0,43700.0,Automatic,2021,8,2023-01-27
Bentley  Bentayga,869999.0,16800.0,Automatic,2021,12,2023-01-27
Land Rover  Defender  90 HSE,349999.0,21450.0,Automatic,2022,6,2023-01-27
Land Rover  Range Rover  Sport Autobiography,659999.0,300.0,Automatic,2023,6,2023-01-27
Land Rover  Defender  110 X,409999.0,43350.0,Automatic,2022,6,2023-01-27
Lexus  LX  600,639999.0,0.0,Automatic,2022,6,2023-01-27
Land Rover  Defender  110 X,549999.0,4100.0,Automatic,2023,8,2023-01-27
Land Rover  Defender  110 S,479999.0,0.0,Automatic,2023,6,2023-01-27
Audi  RSQ8,579999.0,15300.0,Automatic,2022,8,2023-01-27
Land Rover  Defender  90,539999.0,6300.0,Automatic,2023,8,2023-01-27
Rolls-Royce  Cullinan,1499999.0,26300.0,Automatic,2020,12,2023-01-27
Bentley  Continental  GT,739999.0,25300.0,Automatic,2020,12,2023-01-27
BMW  7-Series  740 Li,319999.0,22300.0,Automatic,2021,6,2023-01-27
Rolls-Royce  Ghost,539999.0,29900.0,Automatic,2016,12,2023-01-27
Lamborghini  Murcielago,849999.0,3950.0,Automatic,2008,12,2023-01-27
Rolls-Royce  Cullinan,1439999.0,14500.0,Automatic,2019,12,2023-01-27
Porsche  911  Turbo S,719999.0,33100.0,Automatic,2021,6,2023-01-27
Mercedes-Benz  G-Class  63 AMG,749999.0,24850.0,Automatic,2021,8,2023-01-27
Toyota  Land Cruiser  GXR Twin Turbo,319000.0,0.0,Automatic,2023,6,2023-01-27
Lexus  LX  600 Luxury,650000.0,0.0,Automatic,2023,6,2023-01-27
Mercedes-Benz  E-Class  400,60000.0,81000.0,Automatic,2014,6,2023-01-27
Mercedes-Benz  S-Class  63 AMG,219000.0,91000.0,Automatic,2015,8,2023-01-27
BMW  7-Series  730 Li,249000.0,33000.0,Automatic,2020,6,2023-01-27
Volkswagen  Touareg  R line,309000.0,3500.0,Automatic,2023,6,2023-01-27
Bentley  Bentayga  Speed,579000.0,34000.0,Automatic,2020,12,2023-01-27
Mercedes-Benz  C-Class  200,139000.0,44000.0,Automatic,2020,4,2023-01-27
Mercedes-Benz  E-Class  63 AMG,489000.0,14000.0,Automatic,2021,8,2023-01-27
BMW  X-Series  X5,219000.0,51000.0,Automatic,2019,6,2023-01-27
Mercedes-Benz  G-Class  63 AMG,589000.0,98000.0,Automatic,2019,8,2023-01-27
GMC  Sierra  AT4,219000.0,3000.0,Automatic,2023,8,2023-01-27
Genesis  GV 80,279000.0,18000.0,Automatic,2022,6,2023-01-27
Maserati  Quattroporte  GTS,145000.0,28000.0,Automatic,2016,8,2023-01-27
BMW  8-Series  840i M Package,339000.0,3000.0,Automatic,2022,6,2023-01-27
Land Rover  Range Rover  Vogue Autobiography SV,429000.0,37000.0,Automatic,2020,8,2023-01-27
Volkswagen  Teramont  SEL,95000.0,48000.0,Automatic,2019,4,2023-01-27
BMW  3-Series  330i,79000.0,69000.0,Automatic,2016,4,2023-01-27
Land Rover  Range Rover  Vogue Autobiography,419000.0,6500.0,Automatic,2021,8,2023-01-27
Infiniti  QX  80,315000.0,0.0,Automatic,2021,8,2023-01-27
Volkswagen  Golf  GTI,49999.0,107700.0,Automatic,2014,4,2023-01-27
BMW  7-Series  730 Li,84999.0,82300.0,Automatic,2015,6,2023-01-27
BMW  X-Series  X6 M,94999.0,85400.0,Automatic,2014,8,2023-01-27
GMC  Terrain  SLE,54999.0,92800.0,Automatic,2018,4,2023-01-27
Toyota  Tundra  Limited,319999.0,1000.0,Automatic,2022,6,2023-01-27
Toyota  C-HR  HIBRID,84999.0,22350.0,Automatic,2021,4,2023-01-27
GMC  Sierra  Elevation,184999.0,0.0,Automatic,2022,8,2023-01-27
BMW  7-Series  760 Li,214999.0,68700.0,Automatic,2018,12,2023-01-27
Nissan  Patrol  Nismo,354999.0,9600.0,Automatic,2022,8,2023-01-27
Mercedes-Benz  E-Class  200,83000.0,94000.0,Automatic,2016,4,2023-01-27
Land Rover  Range Rover  Vogue Autobiography,169999.0,108300.0,Automatic,2015,8,2023-01-27
,89999.0,40900.0,Automatic,2015,6,2023-01-27
,249999.0,76000.0,Automatic,2018,6,2023-01-27
,155000.0,8000.0,Automatic,2022,6,2023-01-27
,144999.0,37000.0,Automatic,2019,4,2023-01-27
,84999.0,33700.0,Automatic,2014,8,2023-01-27
,124999.0,86900.0,Automatic,2016,8,2023-01-27
Mercedes-Benz  C-Class  200,134999.0,72500.0,Automatic,2019,4,2023-01-27
Volkswagen  Touareg  Sport,79999.0,62200.0,Automatic,2015,6,2023-01-27
Fiat  124  Spider,119999.0,18000.0,Automatic,2019,4,2023-01-27
Nissan  Patrol  XE,199999.0,4200.0,Automatic,2022,6,2023-01-27
Bentley  Bentayga,474999.0,18400.0,Automatic,2018,12,2023-01-27
Porsche  Macan  S,119999.0,73300.0,Automatic,2015,6,2023-01-27
Toyota  Land Cruiser  GXR,175000.0,203000.0,Automatic,2017,8,2023-01-27
BMW  X-Series  X5 40i,209999.0,52300.0,Automatic,2019,6,2023-01-27
Mercedes-Benz  GLE  400,109999.0,90800.0,Automatic,2017,6,2023-01-27
Porsche  Cayenne  S,84999.0,84800.0,Automatic,2012,8,2023-01-27
Dodge  Ram  Rebel,237000.0,0.0,Automatic,2022,8,2023-01-27
BMW  7-Series  730 Li,299999.0,2000.0,Automatic,2022,4,2023-01-27
BMW  M-Series  2,149999.0,52000.0,Automatic,2016,6,2023-01-27
Audi  Q5  45 TFSI Quattro S-Line,144999.0,34500.0,Automatic,2018,4,2023-01-27
Audi  Q3  35 TFSI,139999.0,33200.0,Automatic,2020,4,2023-01-27
BMW  8-Series  840i M Package,299999.0,20300.0,Automatic,2019,8,2023-01-27
Jeep  Wrangler,79999.0,84500.0,Automatic,2017,6,2023-01-27
Bentley  Continental  GT Speed,259999.0,74700.0,Automatic,2015,12,2023-01-27
BMW  7-Series  740 Li,139999.0,14500.0,Automatic,2017,6,2023-01-27
,419999.0,16000.0,Automatic,2022,6,2023-01-27
,139999.0,52500.0,Automatic,2018,4,2023-01-27
,370000.0,7000.0,Automatic,2022,8,2023-01-27
,105000.0,7000.0,Automatic,2022,4,2023-01-27
,735000.0,47000.0,Automatic,2021,8,2023-01-27
Land Rover  Range Rover  HSE,789000.0,11000.0,Automatic,2022,8,2023-01-27
Land Rover  Defender  110,549000.0,19000.0,Automatic,2022,8,2023-01-27
Toyota  Land Cruiser  GR Sport Twin Turbo,399000.0,0.0,Automatic,2022,6,2023-01-27
Toyota  Land Cruiser  VXR Twin Turbo,389000.0,0.0,Automatic,2022,6,2023-01-27
Toyota  Land Cruiser  VXR Twin Turbo,379000.0,7000.0,Automatic,2022,6,2023-01-27
Toyota  Land Cruiser  VXR Twin Turbo,359000.0,29000.0,Automatic,2022,6,2023-01-27
Toyota  Land Cruiser  VX Twin Turbo,359000.0,0.0,Automatic,2022,6,2023-01-27
Toyota  Land Cruiser  VX Twin Turbo,359000.0,0.0,Automatic,2022,6,2023-01-27
Toyota  Land Cruiser  VX Twin Turbo,349000.0,0.0,Automatic,2022,6,2023-01-27
Land Rover  Range Rover  Sport Super charged,269000.0,54000.0,Automatic,2018,8,2023-01-27
Toyota  Land Cruiser  VX Twin Turbo,349000.0,0.0,Automatic,2022,6,2023-01-27
Toyota  Land Cruiser  GXR,329000.0,0.0,Automatic,2022,6,2023-01-27
Toyota  Land Cruiser  GXR Twin Turbo,309000.0,0.0,Automatic,2023,6,2023-01-27
Toyota  Land Cruiser  GXR Twin Turbo,289000.0,0.0,Automatic,2022,6,2023-01-27
Toyota  Land Cruiser  GXR,299000.0,0.0,Automatic,2022,6,2023-01-27
Mercedes-Benz  C-Class  200 AMG,245000.0,0.0,Automatic,2022,4,2023-01-27
Toyota  Land Cruiser  GXR,309000.0,0.0,Automatic,2022,6,2023-01-27
Toyota  Land Cruiser  VXR,329000.0,0.0,Automatic,2021,8,2023-01-27
Nissan  Patrol  Platinum,255000.0,0.0,Automatic,2022,6,2023-01-27
Toyota  Land Cruiser  LX,145000.0,0.0,Manual,2023,6,2023-01-27
GMC  Sierra  Elevation,149000.0,17000.0,Automatic,2021,8,2023-01-27
Toyota  Hilux  GR Sport,139000.0,0.0,Automatic,2023,6,2023-01-27
Land Rover  Range Rover  Vogue SE Super charged L,165000.0,117000.0,Automatic,2015,8,2023-01-27
Land Rover  Range Rover  HSE,825000.0,0.0,Automatic,2023,8,2023-01-27
Porsche  Cayenne,210000.0,54000.0,Automatic,2019,6,2023-01-27
BMW  M-Series  6 Gran Coupe,149000.0,79000.0,Automatic,2014,8,2023-01-27
Audi  A8  L,275000.0,25000.0,Automatic,2019,8,2023-01-27
Lamborghini  Gallardo  LP-550,298000.0,30000.0,Automatic,2013,8,2023-01-27
BMW  X-Series  X4,85000.0,93000.0,Automatic,2015,4,2023-01-27
Bentley  Continental,225000.0,107000.0,Automatic,2016,8,2023-01-27
Mercedes-Benz  S-Class  560 Coupe,440000.0,8000.0,Automatic,2020,8,2023-01-27
Land Rover  Defender  90 HSE,342000.0,10000.0,Automatic,2022,6,2023-01-27
Mercedes-Benz  S-Class  450,210000.0,125000.0,Automatic,2018,6,2023-01-27
Mercedes-Benz  S-Class  450,252000.0,69000.0,Automatic,2018,6,2023-01-27
Maserati  Grancabrio,163000.0,32000.0,Automatic,2012,8,2023-01-27
Mercedes-Benz  G-Class  63 AMG,899000.0,0.0,Automatic,2022,8,2023-01-27
Mercedes-Benz  C-Class  200,77000.0,124000.0,Automatic,2015,4,2023-01-27
Porsche  911  Carrera,860000.0,6000.0,Automatic,2022,6,2023-01-27
Land Rover  Range Rover  Sport,135000.0,104000.0,Automatic,2016,8,2023-01-27
Mercedes-Benz  S-Class  65 AMG,289000.0,65000.0,Automatic,2016,12,2023-01-27
Toyota  Land Cruiser  GXR,245000.0,22000.0,Automatic,2022,6,2023-01-27
Toyota  Land Cruiser  GXR Twin Turbo,335000.0,0.0,Automatic,2022,6,2023-01-27
Porsche  Macan,330000.0,0.0,Automatic,2023,4,2023-01-27
Nissan  Patrol  Safari,109000.0,28000.0,Automatic,2019,6,2023-01-27
Toyota  Land Cruiser  GX,229000.0,12000.0,Automatic,2022,6,2023-01-27
,577000.0,0.0,Automatic,2023,8,2023-01-27
,235000.0,7000.0,Automatic,2022,6,2023-01-27
,335000.0,0.0,Automatic,2022,6,2023-01-27
Toyota  Land Cruiser  GX,235000.0,13000.0,Automatic,2022,6,2023-01-27
Toyota  Land Cruiser  GX,229000.0,13000.0,Automatic,2022,6,2023-01-27
,285000.0,0.0,Automatic,2022,8,2023-01-27
,280000.0,11000.0,Automatic,2022,6,2023-01-27
,275000.0,14000.0,Automatic,2022,6,2023-01-27
,780000.0,4000.0,Automatic,2021,8,2023-01-27
,282000.0,0.0,Automatic,2022,6,2023-01-27
,135000.0,20000.0,Automatic,2021,8,2023-01-27
,365000.0,0.0,Automatic,2022,6,2023-01-27
,90000.0,154000.0,Automatic,2016,8,2023-01-27
,375000.0,22000.0,Automatic,2021,6,2023-01-27
,1999999.0,8000.0,Automatic,2021,8,2023-01-27
,120000.0,58000.0,Automatic,2015,8,2023-01-27
,242000.0,1500.0,Automatic,2023,6,2023-01-27
,179000.0,40000.0,Automatic,2020,8,2023-01-27
,479000.0,33000.0,Automatic,2021,8,2023-01-27
,230000.0,9000.0,Automatic,2022,6,2023-01-27
,505000.0,11000.0,Automatic,2021,6,2023-01-27
,289000.0,7000.0,Automatic,2022,6,2023-01-27
,610000.0,8000.0,Automatic,2022,6,2023-01-27
,270000.0,0.0,Automatic,2023,6,2023-01-27
,245000.0,0.0,Automatic,2023,6,2023-01-27
,245000.0,4000.0,Automatic,2022,6,2023-01-27
,615000.0,1800.0,Automatic,2022,6,2023-01-27
Toyota  Land Cruiser  GX,230000.0,7000.0,Automatic,2022,6,2023-01-27
Toyota  Land Cruiser  GXR Twin Turbo,298000.0,1400.0,Automatic,2022,6,2023-01-27
Toyota  Land Cruiser  GXR Twin Turbo,256000.0,51000.0,Automatic,2022,6,2023-01-27
Toyota  Hilux  GR Sport,140000.0,0.0,Automatic,2023,6,2023-01-27
Chevrolet  Silverado  ZR 2,239000.0,5000.0,Automatic,2022,8,2023-01-27
Toyota  Hilux,97000.0,7500.0,Automatic,2020,4,2023-01-27
Nissan  Patrol  Platinum,255000.0,0.0,Automatic,2022,6,2023-01-27
Nissan  Patrol  Super Safari,179000.0,16000.0,Manual,2021,6,2023-01-27
Nissan  Patrol  Titanium,234000.0,0.0,Automatic,2022,6,2023-01-27
BMW  7-Series  740 Li,309000.0,18000.0,Automatic,2022,6,2023-01-27
Nissan  Patrol  SE,219000.0,0.0,Automatic,2022,6,2023-01-27
Dodge  Charger  RT,166000.0,1000.0,Automatic,2022,8,2023-01-27
Land Rover  Range Rover  Vogue SE Super charged,298000.0,72000.0,Automatic,2018,8,2023-01-27
Toyota  Land Cruiser  GXR Twin Turbo,329000.0,0.0,Automatic,2022,6,2023-01-27
Toyota  Hilux,103000.0,5000.0,Automatic,2022,4,2023-01-27
Ford  Mustang  GT,199000.0,2000.0,Automatic,2022,8,2023-01-27
Chevrolet  Silverado  Trail Boss,189000.0,10000.0,Automatic,2022,8,2023-01-27
Toyota  Land Cruiser  GXR Twin Turbo,309000.0,0.0,Automatic,2023,6,2023-01-27
Toyota  Land Cruiser  GXR,115000.0,242000.0,Automatic,2015,8,2023-01-27
Mercedes-Benz  E-Class  200,188000.0,25000.0,Automatic,2021,4,2023-01-27
Land Rover  Range Rover  Sport Super charged,133000.0,110000.0,Automatic,2016,8,2023-01-27
Ford  Raptor  SVT,168000.0,97000.0,Automatic,2017,6,2023-01-27
BMW  X-Series  X5 M,150000.0,96000.0,Automatic,2016,8,2023-01-27
Mercedes-Benz  CLA  250,113000.0,74000.0,Automatic,2018,4,2023-01-27
Land Rover  Defender  110 HSE,435000.0,10000.0,Automatic,2023,6,2023-02-13
,55000.0,28000.0,Automatic,2016,4,2023-02-13
,185000.0,103000.0,Automatic,2018,6,2023-02-13
,265000.0,1800.0,Automatic,2022,8,2023-02-13
,209000.0,86000.0,Automatic,2019,6,2023-02-13
,370000.0,34000.0,Automatic,2022,6,2023-02-13
,370000.0,29000.0,Automatic,2019,8,2023-02-13
,136000.0,113000.0,Automatic,2020,4,2023-02-13
,370000.0,33000.0,Automatic,2022,6,2023-02-13
,43000.0,195000.0,Automatic,2009,6,2023-02-13
,130000.0,10000.0,Automatic,2020,6,2023-02-13
,298000.0,7000.0,Automatic,2022,6,2023-02-13
,240000.0,3900.0,Automatic,2022,6,2023-02-13
,335000.0,71000.0,Automatic,2021,6,2023-02-13
,615000.0,0.0,Automatic,2022,6,2023-02-13
,258000.0,10000.0,Automatic,2022,6,2023-02-13
,610000.0,17000.0,Automatic,2022,6,2023-02-13
